trial,seed,base_duration,imp_duration,min_cost,base_cost,imp_cost
680,748116085018,5812,1056,1.0107785462870449E8,1.2819524678556746E8,1.0756673698164581E8
681,748158282947,5728,909,1.0417156108576435E8,1.2984050226223499E8,1.1017918853674476E8
682,748197850774,5573,834,1.1015269889351285E8,1.362795224229246E8,1.1642430673665026E8
683,748238266804,5609,851,1.0211785327597134E8,1.2851934347204967E8,1.0827387288381453E8
684,748276434003,5857,1017,1.0634402319416642E8,1.3273355260593112E8,1.1286478790004878E8
685,748311298993,6068,971,1.0402490628579351E8,1.3258300432500924E8,1.1069467099167576E8
686,748347560913,5719,875,1.0645771789066757E8,1.3296105122400074E8,1.1245665906713785E8
687,748383294195,5986,768,1.0261494862361906E8,1.2972173293734442E8,1.0877598783930533E8
688,748425271856,5557,943,1.0661389863049181E8,1.3175856529715876E8,1.1283621235598218E8
689,748460404523,6564,821,1.0471017974979866E8,1.3540600327921042E8,1.1161147386744583E8
690,748499494412,6394,897,1.076677398898707E8,1.359324849879098E8,1.1409248498790997E8
691,748538507530,6389,847,1.1232622014185241E8,1.3986147504381314E8,1.1853955347518584E8
692,748576902084,6263,944,1.0663299653047808E8,1.3539744751087034E8,1.1313009456969388E8
693,748615709839,6910,941,1.0271352648898444E8,1.3198935001839614E8,1.0969048727329803E8
694,748656245776,5814,735,1.0556036894412561E8,1.327409375715764E8,1.1169189835589024E8
695,748692962182,6128,852,1.0825213051639195E8,1.3552316973207808E8,1.145648952222743E8
696,748731296414,5737,964,1.0348268843435042E8,1.2886706098337004E8,1.0978541392454633E8
697,748767651062,6097,1087,1.0796099852977103E8,1.3649744951016304E8,1.144732926474179E8
698,748805637469,6169,858,1.0602233403335631E8,1.3581358893531704E8,1.1229762815100329E8
699,748842803809,5700,860,1.0526238671083719E8,1.300839553382881E8,1.1115852396573915E8
700,748876792521,5192,738,1.0297845034773096E8,1.2835999936733878E8,1.0882584250459352E8
701,748911674522,5952,810,1.0801661411188163E8,1.363291239158031E8,1.1451526117070498E8
702,748951120639,5853,697,1.0772036588063344E8,1.3593352274337837E8,1.138622090178882E8
703,748988188007,6766,896,1.1261081752204598E8,1.431684645808698E8,1.1939760183577156E8
